# Source: AirNav Radar public frontend bundle captured in www.airnavradar.com.har
# Columns: icao_type	sprite_family	glb_asset	rendering_note
A109	HELI	heli.glb	3D GLB model shared by this sprite family.
A119	HELI	heli.glb	3D GLB model shared by this sprite family.
A124	C17	md11.glb	3D GLB model shared by this sprite family.
A129	HELI	heli.glb	3D GLB model shared by this sprite family.
A139	HELI	heli.glb	3D GLB model shared by this sprite family.
A148	RJ85	a320.glb	3D GLB model shared by this sprite family.
A149	HELI	heli.glb	3D GLB model shared by this sprite family.
A158	RJ85	a320.glb	3D GLB model shared by this sprite family.
A169	HELI	heli.glb	3D GLB model shared by this sprite family.
A189	HELI	heli.glb	3D GLB model shared by this sprite family.
A19N	A320	a320.glb	3D GLB model shared by this sprite family.
A20N	A320	a320.glb	3D GLB model shared by this sprite family.
A210	C172	c172.glb	3D GLB model shared by this sprite family.
A21N	A320	a320.glb	3D GLB model shared by this sprite family.
A270	C172	c172.glb	3D GLB model shared by this sprite family.
A300	A310	a310.glb	3D GLB model shared by this sprite family.
A306	A310	a310.glb	3D GLB model shared by this sprite family.
A30B	A310	a310.glb	3D GLB model shared by this sprite family.
A310	A310	a310.glb	3D GLB model shared by this sprite family.
A318	A320	a320.glb	3D GLB model shared by this sprite family.
A319	A320	a320.glb	3D GLB model shared by this sprite family.
A320	A320	a320.glb	3D GLB model shared by this sprite family.
A321	A320	a320.glb	3D GLB model shared by this sprite family.
A332	A333	b789.glb	3D GLB model shared by this sprite family.
A333	A333	b789.glb	3D GLB model shared by this sprite family.
A337	A3ST	a310.glb	3D GLB model shared by this sprite family.
A338	A333	b789.glb	3D GLB model shared by this sprite family.
A339	A333	b789.glb	3D GLB model shared by this sprite family.
A342	A343	md11.glb	3D GLB model shared by this sprite family.
A343	A343	md11.glb	3D GLB model shared by this sprite family.
A345	A346	b772.glb	3D GLB model shared by this sprite family.
A346	A346	b772.glb	3D GLB model shared by this sprite family.
A359	A359	b772.glb	3D GLB model shared by this sprite family.
A35K	A359	b772.glb	3D GLB model shared by this sprite family.
A380	A388	a388.glb	3D GLB model shared by this sprite family.
A388	A388	a388.glb	3D GLB model shared by this sprite family.
A389	A388	a388.glb	3D GLB model shared by this sprite family.
A3ST	A3ST	a310.glb	3D GLB model shared by this sprite family.
A400	C17	md11.glb	3D GLB model shared by this sprite family.
A5	C172	c172.glb	3D GLB model shared by this sprite family.
A748	AT42	atr42.glb	3D GLB model shared by this sprite family.
AA5	C172	c172.glb	3D GLB model shared by this sprite family.
AAT3	C172	c172.glb	3D GLB model shared by this sprite family.
AAT4	C172	c172.glb	3D GLB model shared by this sprite family.
AC11	C172	c172.glb	3D GLB model shared by this sprite family.
AC50	C172	c172.glb	3D GLB model shared by this sprite family.
AC68	C172	c172.glb	3D GLB model shared by this sprite family.
AC80	C172	c172.glb	3D GLB model shared by this sprite family.
AC90	C172	c172.glb	3D GLB model shared by this sprite family.
AC95	C172	c172.glb	3D GLB model shared by this sprite family.
ACAM	C172	c172.glb	3D GLB model shared by this sprite family.
AEST	AT42	atr42.glb	3D GLB model shared by this sprite family.
AJET	F35	c56x.glb	3D GLB model shared by this sprite family.
ALH	HELI	heli.glb	3D GLB model shared by this sprite family.
ALIG	C172	c172.glb	3D GLB model shared by this sprite family.
ALO2	HELI	heli.glb	3D GLB model shared by this sprite family.
ALO3	HELI	heli.glb	3D GLB model shared by this sprite family.
AN12	AT42	atr42.glb	3D GLB model shared by this sprite family.
AN2	C172	c172.glb	3D GLB model shared by this sprite family.
AN26	AT42	atr42.glb	3D GLB model shared by this sprite family.
AN28	AT42	atr42.glb	3D GLB model shared by this sprite family.
AN32	AT42	atr42.glb	3D GLB model shared by this sprite family.
AP22	C172	c172.glb	3D GLB model shared by this sprite family.
AP32	C172	c172.glb	3D GLB model shared by this sprite family.
ARCP	C172	c172.glb	3D GLB model shared by this sprite family.
ARES	C56X	c56x.glb	3D GLB model shared by this sprite family.
AS24	AS26	as26.glb	3D GLB model shared by this sprite family.
AS26	AS26	as26.glb	3D GLB model shared by this sprite family.
AS29	C172	c172.glb	3D GLB model shared by this sprite family.
AS30	C172	c172.glb	3D GLB model shared by this sprite family.
AS31	AS26	as26.glb	3D GLB model shared by this sprite family.
AS32	HELI	heli.glb	3D GLB model shared by this sprite family.
AS3B	HELI	heli.glb	3D GLB model shared by this sprite family.
AS50	HELI	heli.glb	3D GLB model shared by this sprite family.
AS55	HELI	heli.glb	3D GLB model shared by this sprite family.
AS65	HELI	heli.glb	3D GLB model shared by this sprite family.
ASTO	C172	c172.glb	3D GLB model shared by this sprite family.
ASTR	C56X	c56x.glb	3D GLB model shared by this sprite family.
AT42	AT42	atr42.glb	3D GLB model shared by this sprite family.
AT43	AT42	atr42.glb	3D GLB model shared by this sprite family.
AT44	AT42	atr42.glb	3D GLB model shared by this sprite family.
AT45	AT42	atr42.glb	3D GLB model shared by this sprite family.
AT46	AT42	atr42.glb	3D GLB model shared by this sprite family.
AT5T	C172	c172.glb	3D GLB model shared by this sprite family.
AT6T	C172	c172.glb	3D GLB model shared by this sprite family.
AT72	AT42	atr42.glb	3D GLB model shared by this sprite family.
AT73	AT42	atr42.glb	3D GLB model shared by this sprite family.
AT74	AT42	atr42.glb	3D GLB model shared by this sprite family.
AT75	AT42	atr42.glb	3D GLB model shared by this sprite family.
AT76	AT42	atr42.glb	3D GLB model shared by this sprite family.
AT8T	C172	c172.glb	3D GLB model shared by this sprite family.
ATP	AT42	atr42.glb	3D GLB model shared by this sprite family.
B06	HELI	heli.glb	3D GLB model shared by this sprite family.
B06T	HELI	heli.glb	3D GLB model shared by this sprite family.
B105	HELI	heli.glb	3D GLB model shared by this sprite family.
B14A	C172	c172.glb	3D GLB model shared by this sprite family.
B14C	C172	c172.glb	3D GLB model shared by this sprite family.
B190	AT42	atr42.glb	3D GLB model shared by this sprite family.
B212	HELI	heli.glb	3D GLB model shared by this sprite family.
B214	HELI	heli.glb	3D GLB model shared by this sprite family.
B222	HELI	heli.glb	3D GLB model shared by this sprite family.
B350	C425	c172.glb	3D GLB model shared by this sprite family.
B36T	C172	c172.glb	3D GLB model shared by this sprite family.
B37M	B738	a320.glb	3D GLB model shared by this sprite family.
B38M	B738	a320.glb	3D GLB model shared by this sprite family.
B39M	B738	a320.glb	3D GLB model shared by this sprite family.
B3JM	B738	a320.glb	3D GLB model shared by this sprite family.
B407	HELI	heli.glb	3D GLB model shared by this sprite family.
B412	HELI	heli.glb	3D GLB model shared by this sprite family.
B427	HELI	heli.glb	3D GLB model shared by this sprite family.
B429	HELI	heli.glb	3D GLB model shared by this sprite family.
B430	HELI	heli.glb	3D GLB model shared by this sprite family.
B461	RJ85	a320.glb	3D GLB model shared by this sprite family.
B462	RJ85	a320.glb	3D GLB model shared by this sprite family.
B463	RJ85	a320.glb	3D GLB model shared by this sprite family.
B47G	HELI	heli.glb	3D GLB model shared by this sprite family.
B47J	HELI	heli.glb	3D GLB model shared by this sprite family.
B505	HELI	heli.glb	3D GLB model shared by this sprite family.
B58T	AT42	atr42.glb	3D GLB model shared by this sprite family.
B712	MD80	md80.glb	3D GLB model shared by this sprite family.
B717	MD80	md80.glb	3D GLB model shared by this sprite family.
B722	MD80	md80.glb	3D GLB model shared by this sprite family.
B731	B738	a320.glb	3D GLB model shared by this sprite family.
B732	B738	a320.glb	3D GLB model shared by this sprite family.
B733	B738	a320.glb	3D GLB model shared by this sprite family.
B734	B738	a320.glb	3D GLB model shared by this sprite family.
B735	B738	a320.glb	3D GLB model shared by this sprite family.
B736	B738	a320.glb	3D GLB model shared by this sprite family.
B737	B738	a320.glb	3D GLB model shared by this sprite family.
B738	B738	a320.glb	3D GLB model shared by this sprite family.
B739	B738	a320.glb	3D GLB model shared by this sprite family.
B741	B744	a388.glb	3D GLB model shared by this sprite family.
B742	B744	a388.glb	3D GLB model shared by this sprite family.
B743	B744	a388.glb	3D GLB model shared by this sprite family.
B744	B744	a388.glb	3D GLB model shared by this sprite family.
B748	B744	a388.glb	3D GLB model shared by this sprite family.
B74F	B744	a388.glb	3D GLB model shared by this sprite family.
B74S	B744	a388.glb	3D GLB model shared by this sprite family.
B752	B752	a310.glb	3D GLB model shared by this sprite family.
B753	B752	a310.glb	3D GLB model shared by this sprite family.
B762	B763	a310.glb	3D GLB model shared by this sprite family.
B763	B763	a310.glb	3D GLB model shared by this sprite family.
B764	B763	a310.glb	3D GLB model shared by this sprite family.
B772	B772	b772.glb	3D GLB model shared by this sprite family.
B773	B773	b772.glb	3D GLB model shared by this sprite family.
B778	B772	b772.glb	3D GLB model shared by this sprite family.
B779	B773	b772.glb	3D GLB model shared by this sprite family.
B77F	B772	b772.glb	3D GLB model shared by this sprite family.
B77L	B772	b772.glb	3D GLB model shared by this sprite family.
B77W	B773	b772.glb	3D GLB model shared by this sprite family.
B788	B789	b789.glb	3D GLB model shared by this sprite family.
B789	B789	b789.glb	3D GLB model shared by this sprite family.
B78X	B789	b789.glb	3D GLB model shared by this sprite family.
BABY	HELI	heli.glb	3D GLB model shared by this sprite family.
BAL	BALLOON	balloon.glb	3D GLB model shared by this sprite family.
BALL	BALLOON	balloon.glb	3D GLB model shared by this sprite family.
BCLF	B744	a388.glb	3D GLB model shared by this sprite family.
BCS1	E190	a320.glb	3D GLB model shared by this sprite family.
BCS3	E190	a320.glb	3D GLB model shared by this sprite family.
BD4	C172	c172.glb	3D GLB model shared by this sprite family.
BDOG	C172	c172.glb	3D GLB model shared by this sprite family.
BE10	C425	c172.glb	3D GLB model shared by this sprite family.
BE17	C172	c172.glb	3D GLB model shared by this sprite family.
BE18	C172	c172.glb	3D GLB model shared by this sprite family.
BE19	C172	c172.glb	3D GLB model shared by this sprite family.
BE20	C425	c172.glb	3D GLB model shared by this sprite family.
BE23	C172	c172.glb	3D GLB model shared by this sprite family.
BE24	C172	c172.glb	3D GLB model shared by this sprite family.
